Country Name,Total Samples,Total Correct Predictions,Total Incorrect Predictions,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN),Accuracy,Precision,Recall,F1-score,AUC-ROC,AUC-PR
MNG,17,14,3,0,14,0,3,0.8235294117647058,0.0,0.0,0.0,1.0,1.0
MOZ,440,440,0,85,355,0,0,1.0,1.0,1.0,1.0,1.0,1.0
MRT,57,57,0,55,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
MUS,2,2,0,0,2,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
MWI,782,771,11,598,173,11,0,0.9859335038363172,0.9819376026272578,1.0,0.9908864954432477,0.9999182056129126,0.999974817863656
MYS,416,413,3,227,186,2,1,0.9927884615384616,0.9912663755458515,0.9956140350877193,0.9934354485776805,0.9998600223964166,0.9998875393612237
NAM,8,8,0,0,8,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
NER,67,67,0,4,63,0,0,1.0,1.0,1.0,1.0,1.0,1.0
NGA,216,216,0,47,169,0,0,1.0,1.0,1.0,1.0,1.0,1.0
NIC,35,34,1,25,9,1,0,0.9714285714285714,0.9615384615384616,1.0,0.9803921568627451,1.0,1.0
NLD,4351,4338,13,1353,2985,6,7,0.9970121811077913,0.9955849889624724,0.9948529411764706,0.9952188304523722,0.999971728912227,0.9999373570516236
NOR,1864,1862,2,1620,242,0,2,0.9989270386266095,1.0,0.998766954377312,0.999383096853794,1.0,1.0
NPL,240,239,1,0,239,0,1,0.9958333333333333,0.0,0.0,0.0,0.9874476987447698,0.25
NZL,1329,1328,1,880,448,1,0,0.999247554552295,0.9988649262202043,1.0,0.9994321408290744,0.9998582709050414,0.9999254335840495
OMN,13,12,1,1,11,1,0,0.9230769230769231,0.5,1.0,0.6666666666666666,0.9166666666666666,0.5
PAK,36,34,2,4,30,2,0,0.9444444444444444,0.6666666666666666,1.0,0.8,1.0,1.0
PAN,15,13,2,10,3,2,0,0.8666666666666667,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0
PER,187,186,1,64,122,0,1,0.9946524064171123,1.0,0.9846153846153847,0.9922480620155039,1.0,0.9999999999999998
PHL,1216,1214,2,936,278,2,0,0.9983552631578947,0.997867803837953,1.0,0.9989327641408752,0.9999236874236873,0.9999770061445141
PNG,193,193,0,182,11,0,0,1.0,1.0,1.0,1.0,1.0,1.0
POL,1493,1488,5,95,1393,1,4,0.9966510381781648,0.9895833333333334,0.9595959595959596,0.9743589743589743,0.9995362520470125,0.9945873589525149
PRK,1,1,0,0,1,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
PRT,500,488,12,161,327,5,7,0.976,0.9698795180722891,0.9583333333333334,0.9640718562874252,0.9988704819277108,0.9978361151023297
PRY,157,157,0,86,71,0,0,1.0,1.0,1.0,1.0,1.0,1.0
QAT,36,36,0,0,36,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
ROU,673,671,2,590,81,2,0,0.9970282317979198,0.9966216216216216,1.0,0.9983079526226735,0.9997345313457219,0.9999623386708814
RUS,4250,4225,25,823,3402,14,11,0.9941176470588236,0.983273596176822,0.986810551558753,0.9850388988629563,0.9997234062866802,0.9987865658267303
RWA,87,87,0,0,87,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
SAU,124,124,0,34,90,0,0,1.0,1.0,1.0,1.0,1.0,1.0
SDN,2,2,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0
SEN,10316,10312,4,10306,6,4,0,0.9996122528111672,0.9996120271580989,1.0,0.9998059759410167,0.9995633611488454,0.999999575756986
SGP,110,108,2,87,21,2,0,0.9818181818181818,0.9775280898876404,1.0,0.9886363636363636,1.0,0.9999999999999999
SLB,4,4,0,4,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
SLE,387,387,0,353,34,0,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
SLV,5,4,1,0,4,1,0,0.8,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
SMR,3,3,0,3,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
SOM,98,98,0,0,98,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
SRB,190,190,0,23,167,0,0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998
SSD,137,137,0,11,126,0,0,1.0,1.0,1.0,1.0,1.0,1.0
STP,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
SUR,21,21,0,0,21,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
SVK,478,470,8,315,155,0,8,0.9832635983263598,1.0,0.9752321981424149,0.987460815047022,0.9996404673923899,0.9998285781568673
SVN,178,178,0,130,48,0,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
SWE,473,466,7,173,293,2,5,0.985200845665962,0.9885714285714285,0.9719101123595506,0.9801699716713881,0.9995429442011046,0.999235827744216
SWZ,94,94,0,61,33,0,0,1.0,1.0,1.0,1.0,1.0,1.0
SYC,56,56,0,53,3,0,0,1.0,1.0,1.0,1.0,1.0,1.0
SYR,5,5,0,0,5,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
TCD,68,68,0,1,67,0,0,1.0,1.0,1.0,1.0,1.0,1.0
TGO,25,23,2,0,23,2,0,0.92,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
THA,337,334,3,161,173,2,1,0.9910979228486647,0.9877300613496932,0.9938271604938271,0.9907692307692307,0.9998236331569664,0.9998151844459231
TKM,19,19,0,10,9,0,0,1.0,1.0,1.0,1.0,1.0,1.0
TLS,2,2,0,0,2,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
TTO,6,6,0,0,6,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
TUN,94,93,1,36,57,0,1,0.9893617021276596,1.0,0.972972972972973,0.9863013698630136,1.0,0.9999999999999998
TUR,370,368,2,207,161,2,0,0.9945945945945946,0.9904306220095693,1.0,0.9951923076923077,0.999881449868113,0.9999075422416384
